ID	DOCULECT	CONCEPT	CONCEPTICON_ID	VALUE	SEGMENTS	STRUCTURE	PARTIAL_IDS	ALIGNMENT	PROSTRING
3730	Lanping	CLS for clothing	2088	kʰɔ̃⁵⁵	kʰ ɔ̃ ∼ ⁵⁵	i n c t	81	kʰ ɔ̃ ∼ ⁵⁵	i n c t
3731	Qiliqiao	CLS for clothing	2088	kʰo⁵⁵	kʰ o ⁵⁵	i n t	81	kʰ o - ⁵⁵	i n c t
3732	Yunlong	CLS for clothing	2088	kʰɔ⁵⁵	kʰ ɔ ⁵⁵	i n t	81	kʰ ɔ - ⁵⁵	i n c t
3733	Xiangyun	CLS for clothing	2088	kʰã⁵⁵	kʰ ã ∼ ⁵⁵	i n c t	81	kʰ ã ∼ ⁵⁵	i n c t
3734	Luobenzhuo	CLS for clothing	2088	kʰɤ̃⁵⁵	kʰ ɤ̃ ∼ ⁵⁵	i n c t	81	kʰ ɤ̃ ∼ ⁵⁵	i n c t
3735	Zhoucheng	CLS for clothing	2088	kʰo⁵⁵	kʰ o ⁵⁵	i n t	81	kʰ o - ⁵⁵	i n c t
3718	Jianchuan	CLS for drop of water	2087	tĩ³³	t ĩ ∼ ³³	i n c t	1435	t - ĩ ∼ ³³	i m n c t
3719	Eryuan	CLS for drop of water	2087	te³³/tɔ⁴⁴	t ɔ ⁴⁴	i n t	1560	t ɔ ⁴⁴	i n t
3720	Heqing	CLS for drop of water	2087	tiɛ³³	t i ɛ ³³	i m n t	1435	t i ɛ - ³³	i m n c t
3721	Lanping	CLS for drop of water	2087	tĩɛ̃³³	t i ɛ̃ ∼ ³³	i m n c t	1435	t i ɛ̃ ∼ ³³	i m n c t
3722	Qiliqiao	CLS for drop of water	2087	to⁴⁴	t o ⁴⁴	i n t	1560	t o ⁴⁴	i n t
3723	Yunlong	CLS for drop of water	2087	ti³³	t i ³³	i n t	1435	t - i - ³³	i m n c t
3724	Xiangyun	CLS for drop of water	2087	tĩ³³	t ĩ ∼ ³³	i n c t	1435	t - ĩ ∼ ³³	i m n c t
3725	Luobenzhuo	CLS for drop of water	2087	to⁵⁵	t o ⁵⁵	i n t	1560	t o ⁵⁵	i n t
3726	Zhoucheng	CLS for drop of water	2087	to³³	t o ³³	i n t	1560	t o ³³	i n t
3709	Jianchuan	CLS for grain of rice	2086	kʰou³³	kʰ o u ³³	i n c t	78	kʰ - o u ³³	i m n c t
3710	Eryuan	CLS for grain of rice	2086	kʰɔ³³	kʰ ɔ ³³	i n t	78	kʰ - ɔ - ³³	i m n c t
3711	Heqing	CLS for grain of rice	2086	kʰuɔ³³	kʰ u ɔ ³³	i m n t	78	kʰ u ɔ - ³³	i m n c t
3712	Lanping	CLS for grain of rice	2086	kʰu³³	kʰ u ³³	i n t	78	kʰ - u - ³³	i m n c t
3713	Qiliqiao	CLS for grain of rice	2086	ɔ³³	ɔ ³³	n t	79	ɔ ³³	n t
3714	Yunlong	CLS for grain of rice	2086	kʰɔ³³	kʰ ɔ ³³	i n t	78	kʰ - ɔ - ³³	i m n c t
3715	Xiangyun	CLS for grain of rice	2086	kʰuɔ³³kɯ⁴²	kʰ u ɔ ³³ + k ɯ ⁴²	i m n t + i n t	78 80	kʰ u ɔ - ³³ + k ɯ ⁴²	i m n c t + i n t
3716	Luobenzhuo	CLS for grain of rice	2086	qʰɔ³¹	qʰ ɔ ³¹	i n t	78	qʰ - ɔ - ³¹	i m n c t
3717	Zhoucheng	CLS for grain of rice	2086	kʰuɔ³³	kʰ u ɔ ³³	i m n t	78	kʰ u ɔ - ³³	i m n c t
3664	Jianchuan	CLS for knife	2082	tsɿ³³	ts ɿ ³³	i n t	1430	ts ɿ - ³³	i n c t
3665	Eryuan	CLS for knife	2082	tsɯ³³	ts ɯ ³³	i n t	1430	ts ɯ - ³³	i n c t
3666	Heqing	CLS for knife	2082	tsɿ³³	ts ɿ ³³	i n t	1430	ts ɿ - ³³	i n c t
3667	Lanping	CLS for knife	2082	tsɯ̃³³	ts ɯ̃ ∼ ³³	i n c t	1430	ts ɯ̃ ∼ ³³	i n c t
3668	Qiliqiao	CLS for knife	2082	tsɿ³³	ts ɿ ³³	i n t	1430	ts ɿ - ³³	i n c t
3669	Yunlong	CLS for knife	2082	tsɯ³³	ts ɯ ³³	i n t	1430	ts ɯ - ³³	i n c t
3670	Xiangyun	CLS for knife	2082	tsɿ³³	ts ɿ ³³	i n t	1430	ts ɿ - ³³	i n c t
3671	Luobenzhuo	CLS for knife	2082	tɕi³³	tɕ i ³³	i n t	1430	tɕ i - ³³	i n c t
3672	Zhoucheng	CLS for knife	2082	tsɿ³³	ts ɿ ³³	i n t	1430	ts ɿ - ³³	i n c t
3736	Jianchuan	CLS for pair of shoes	2089	tɕĩ³³	tɕ ĩ ∼ ³³	i n c t	1436	tɕ ĩ ∼ ³³	i n c t
3737	Eryuan	CLS for pair of shoes	2089	tɕi³³	tɕ i ³³	i n t	1436	tɕ i - ³³	i n c t
3738	Heqing	CLS for pair of shoes	2089	tɕĩ³³	tɕ ĩ ∼ ³³	i n c t	1436	tɕ ĩ ∼ ³³	i n c t
3739	Lanping	CLS for pair of shoes	2089	tɕĩ³³	tɕ ĩ ∼ ³³	i n c t	1436	tɕ ĩ ∼ ³³	i n c t
3740	Qiliqiao	CLS for pair of shoes	2089	tɕi³³	tɕ i ³³	i n t	1436	tɕ i - ³³	i n c t
3741	Yunlong	CLS for pair of shoes	2089	dze³³	dz e ³³	i n t	1436	dz e - ³³	i n c t
3742	Xiangyun	CLS for pair of shoes	2089	jĩ³³	j ĩ ∼ ³³	i n c t	1437	j ĩ ∼ ³³	i n c t
3743	Luobenzhuo	CLS for pair of shoes	2089	zẽ³³	z ẽ ∼ ³³	i n c t	1438	z ẽ ∼ ³³	i n c t
3744	Zhoucheng	CLS for pair of shoes	2089	tɕi³³	tɕ i ³³	i n t	1436	tɕ i - ³³	i n c t
3637	Jianchuan	CLS for person	516	jĩ³¹	j ĩ ∼ ³¹	i n c t	1426	j ĩ ∼ ³¹	i n c t
3638	Eryuan	CLS for person	516	ɲi²¹	ɲ i ²¹	i n t	1426	ɲ i - ²¹	i n c t
3639	Heqing	CLS for person	516	tɯ²¹‹›ji²¹	j i ²¹	i n t	1426	j i - ²¹	i n c t
3640	Lanping	CLS for person	516	jĩ²¹	j ĩ ∼ ²¹	i n c t	1426	j ĩ ∼ ²¹	i n c t
3641	Qiliqiao	CLS for person	516	ɲi²¹	ɲ i ²¹	i n t	1426	ɲ i - ²¹	i n c t
3642	Yunlong	CLS for person	516	ɲi²¹	ɲ i ²¹	i n t	1426	ɲ i - ²¹	i n c t
3643	Xiangyun	CLS for person	516	i⁴⁴/we³¹/kɯ⁴²	i ⁴⁴	n t	1426	- i - ⁴⁴	i n c t
3644	Luobenzhuo	CLS for person	516	ɲi³¹	ɲ i ³¹	i n t	1426	ɲ i - ³¹	i n c t
3645	Zhoucheng	CLS for person	516	ɲi³¹	ɲ i ³¹	i n t	1426	ɲ i - ³¹	i n c t
3682	Jianchuan	CLS for rope	2084	jɯ̃⁴²	j ɯ̃ ∼ ⁴²	i n c t	1432	j - ɯ̃ ∼ ⁴²	i m n c t
3683	Eryuan	CLS for rope	2084	ɲɯ⁴²	ɲ ɯ ⁴²	i n t	1432	ɲ - ɯ - ⁴²	i m n c t
3684	Heqing	CLS for rope	2084	jɯ̃⁴²	j ɯ̃ ∼ ⁴²	i n c t	1432	j - ɯ̃ ∼ ⁴²	i m n c t
3685	Lanping	CLS for rope	2084	jɯ̃⁴²	j ɯ̃ ∼ ⁴²	i n c t	1432	j - ɯ̃ ∼ ⁴²	i m n c t
3686	Qiliqiao	CLS for rope	2084	ɲiɔ³²	ɲ i ɔ ³²	i m n t	1432	ɲ i ɔ - ³²	i m n c t
3687	Yunlong	CLS for rope	2084	ɲɯ⁴²	ɲ ɯ ⁴²	i n t	1432	ɲ - ɯ - ⁴²	i m n c t
3688	Xiangyun	CLS for rope	2084	tɕɛ⁴⁴	tɕ ɛ ⁴⁴	i n t	1433	tɕ ɛ ⁴⁴	i n t
3689	Luobenzhuo	CLS for rope	2084	tʂæ⁵⁵	tʂ æ ⁵⁵	i n t	1433	tʂ æ ⁵⁵	i n t
3690	Zhoucheng	CLS for rope	2084	ɲɯ³²	ɲ ɯ ³²	i n t	1432	ɲ - ɯ - ³²	i m n c t
3691	Jianchuan	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434	k u a ⁴⁴	i m n t
3692	Eryuan	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434	k u a ⁴⁴	i m n t
3693	Heqing	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434	k u a ⁴⁴	i m n t
3694	Lanping	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434	k u a ⁴⁴	i m n t
3695	Qiliqiao	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434	k u a ⁴⁴	i m n t
3696	Yunlong	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434	k u a ⁴⁴	i m n t
3697	Xiangyun	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434	k u a ⁴⁴	i m n t
3698	Luobenzhuo	CLS for stick	2085	qua⁵⁵	q u a ⁵⁵	i m n t	1434	q u a ⁵⁵	i m n t
3699	Zhoucheng	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434	k u a ⁴⁴	i m n t
3745	Jianchuan	I(1 p.s.)	1209	ŋo³¹	ŋ o ³¹	i n t	223	ŋ o - ³¹	i n c t
3746	Eryuan	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223	ŋ ɔ - ³¹	i n c t
3747	Heqing	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223	ŋ ɔ - ³¹	i n c t
3748	Lanping	I(1 p.s.)	1209	ŋɔ̃³¹	ŋ ɔ̃ ∼ ³¹	i n c t	223	ŋ ɔ̃ ∼ ³¹	i n c t
3749	Qiliqiao	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223	ŋ ɔ - ³¹	i n c t
3750	Yunlong	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223	ŋ ɔ - ³¹	i n c t
3751	Xiangyun	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223	ŋ ɔ - ³¹	i n c t
3752	Luobenzhuo	I(1 p.s.)	1209	ɴɔ⁴²	ɴ ɔ ⁴²	i n t	223	ɴ ɔ - ⁴²	i n c t
3753	Zhoucheng	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223	ŋ ɔ - ³¹	i n c t
2611	Jianchuan	able to	972	sẽ³³	s ẽ ∼ ³³	i n c t	1279	s - ẽ ∼ ³³	i m n c t
2612	Eryuan	able to	972	la⁴⁴	l a ⁴⁴	i n t	1280	l a ⁴⁴	i n t
2613	Heqing	able to	972	la⁴⁴	l a ⁴⁴	i n t	1280	l a ⁴⁴	i n t
2614	Lanping	able to	972	sũẽ³³	s u ẽ ∼ ³³	i m n c t	1279	s u ẽ ∼ ³³	i m n c t
2615	Qiliqiao	able to	972	te³³	t e ³³	i n t	1281	t e ³³	i n t
2616	Yunlong	able to	972	xue⁵⁵	x u e ⁵⁵	i m n t	1282	x u e ⁵⁵	i m n t
2617	Xiangyun	able to	972	la⁴⁴	l a ⁴⁴	i n t	1280	l a ⁴⁴	i n t
2618	Luobenzhuo	able to	972	qʰɤ³³	qʰ ɤ ³³	i n t	1283	qʰ ɤ ³³	i n t
2619	Zhoucheng	able to	972	tɛ³³	t ɛ ³³	i n t	1427	t ɛ ³³	i n t
3952	Jianchuan	afterwards	2093	ɣɯ³³	ɣ ɯ ³³	i n t	1527	ɣ ɯ - ³³	i n c t
3953	Eryuan	afterwards	2093	ɣɯ³³	ɣ ɯ ³³	i n t	1527	ɣ ɯ - ³³	i n c t
3954	Heqing	afterwards	2093	ɣɯ³³	ɣ ɯ ³³	i n t	1527	ɣ ɯ - ³³	i n c t
3955	Lanping	afterwards	2093	ɣɯ³³	ɣ ɯ ³³	i n t	1527	ɣ ɯ - ³³	i n c t
3956	Qiliqiao	afterwards	2093	ɯ³³	ɯ ³³	n t	1527	- ɯ - ³³	i n c t
3957	Yunlong	afterwards	2093	dɔ³¹xɯ⁴⁴	d ɔ ³¹ + x ɯ ⁴⁴	i n t + i n t	1528 1527	d ɔ - ³¹ + x ɯ - ⁴⁴	i n c t + i n c t
3958	Xiangyun	afterwards	2093	ɣou³³	ɣ o u ³³	i n c t	1527	ɣ o u ³³	i n c t
3959	Luobenzhuo	afterwards	2093	tɯ̃³¹xɯ̃³³	t ɯ̃ ∼ ³¹ + x ɯ̃ ∼ ³³	i n c t + i n c t	1528 1527	t ɯ̃ ∼ ³¹ + x ɯ̃ ∼ ³³	i n c t + i n c t
3960	Zhoucheng	afterwards	2093	ɣɯ³³	ɣ ɯ ³³	i n t	1527	ɣ ɯ - ³³	i n c t
4015	Jianchuan	again	204	tse⁴⁴	ts e ⁴⁴	i n t	1557	ts e ⁴⁴	i n t
4016	Eryuan	again	204	tse⁴⁴	ts e ⁴⁴	i n t	1557	ts e ⁴⁴	i n t
4017	Heqing	again	204	tse⁵⁵	ts e ⁵⁵	i n t	1557	ts e ⁵⁵	i n t
4018	Lanping	again	204	tse⁴²	ts e ⁴²	i n t	1557	ts e ⁴²	i n t
4019	Qiliqiao	again	204	tse⁴⁴	ts e ⁴⁴	i n t	1557	ts e ⁴⁴	i n t
4020	Yunlong	again	204	tsɛ⁴⁴	ts ɛ ⁴⁴	i n t	1557	ts ɛ ⁴⁴	i n t
4021	Xiangyun	again	204	tse⁴⁴	ts e ⁴⁴	i n t	1557	ts e ⁴⁴	i n t
4022	Luobenzhuo	again	204	di⁴⁴	d i ⁴⁴	i n t	1557	d i ⁴⁴	i n t
4023	Zhoucheng	again	204	tse⁴⁴	ts e ⁴⁴	i n t	1557	ts e ⁴⁴	i n t
1054	Jianchuan	alcohol (drink)	404	tsɤ̃³³	ts ɤ̃ ∼ ³³	i n c t	1	ts - ɤ̃ ∼ ³³	i m n c t
1055	Eryuan	alcohol (drink)	404	tsɤ³³	ts ɤ ³³	i n t	1	ts - ɤ - ³³	i m n c t
1056	Heqing	alcohol (drink)	404	tsũɔ̃³³	ts u ɔ̃ ∼ ³³	i m n c t	1	ts u ɔ̃ ∼ ³³	i m n c t
1057	Lanping	alcohol (drink)	404	tsõ⁴⁴	ts õ ∼ ⁴⁴	i n c t	1	ts - õ ∼ ⁴⁴	i m n c t
1058	Qiliqiao	alcohol (drink)	404	tsɿ³³	ts ɿ ³³	i n t	1	ts - ɿ - ³³	i m n c t
1059	Yunlong	alcohol (drink)	404	dzɿ³³	dz ɿ ³³	i n t	1	dz - ɿ - ³³	i m n c t
1060	Xiangyun	alcohol (drink)	404	jɛ̃³³	j ɛ̃ ∼ ³³	i n c t	2	j ɛ̃ ∼ ³³	i n c t
1061	Luobenzhuo	alcohol (drink)	404	tsõ³³	ts õ ∼ ³³	i n c t	1	ts - õ ∼ ³³	i m n c t
1062	Zhoucheng	alcohol (drink)	404	tsɿ³³	ts ɿ ³³	i n t	1	ts - ɿ - ³³	i m n c t
3988	Jianchuan	all	98	tsa³⁵	ts a ³⁵	i n t	1546	ts a ³⁵	i n t
3989	Eryuan	all	98	tɕʰɔ⁵⁵ku⁵⁵	tɕʰ ɔ ⁵⁵ + k u ⁵⁵	i n t + i n t	1547 1548	tɕʰ ɔ - ⁵⁵ + k u ⁵⁵	i n c t + i n t
3990	Heqing	all	98	tsa³⁵ɕɯ⁵⁵	ts a ³⁵ + ɕ ɯ ⁵⁵	i n t + i n t	1546 1549	ts a ³⁵ + ɕ ɯ ⁵⁵	i n t + i n t
3991	Lanping	all	98	tɕʰɛ̃⁵⁵(tɯ³¹ku³³)	tɕʰ ɛ̃ ∼ ⁵⁵ + t ɯ ³¹ + k u ³³	i n c t + i n t + i n t	1547 1550 1548	tɕʰ ɛ̃ ∼ ⁵⁵ + t ɯ ³¹ + k u ³³	i n c t + i n t + i n t
3992	Qiliqiao	all	98	ji³⁵so³¹	j i ³⁵ + s o ³¹	i n t + i n t	1551 1552	j i ³⁵ + s o ³¹	i n t + i n t
3993	Yunlong	all	98	tsa⁵⁵tɕʰi³¹	ts a ⁵⁵ + tɕʰ i ³¹	i n t + i n t	1546 1553	ts a ⁵⁵ + tɕʰ i ³¹	i n t + i n t
3994	Xiangyun	all	98	tɕʰuɛ⁵⁵	tɕʰ u ɛ ⁵⁵	i m n t	1554	tɕʰ u ɛ ⁵⁵	i m n t
3995	Luobenzhuo	all	98	da⁵⁵tɕã³¹	d a ⁵⁵ + tɕ ã ∼ ³¹	i n t + i n c t	1555 1556	d a ⁵⁵ + tɕ ã ∼ ³¹	i n t + i n c t
3996	Zhoucheng	all	98	tu⁵⁵	t u ⁵⁵	i n t	1561	t u ⁵⁵	i n t
595	Jianchuan	ancestor	1669	to⁵⁵po⁵⁵	t o ⁵⁵ + p o ⁵⁵	i n t + i n t	884 885	t o - ⁵⁵ + p o - ⁵⁵	i n c t + i n c t
596	Eryuan	ancestor	1669	tɔ³⁵pɔ³⁵	t ɔ ³⁵ + p ɔ ³⁵	i n t + i n t	884 885	t ɔ - ³⁵ + p ɔ - ³⁵	i n c t + i n c t
597	Heqing	ancestor	1669	tɔu³⁵pɔu³⁵	t ɔ u ³⁵ + p ɔ u ³⁵	i n c t + i n c t	884 885	t ɔ u ³⁵ + p ɔ u ³⁵	i n c t + i n c t
598	Lanping	ancestor	1669	tu⁵⁵pu⁵⁵	t u ⁵⁵ + p u ⁵⁵	i n t + i n t	884 885	t u - ⁵⁵ + p u - ⁵⁵	i n c t + i n c t
599	Qiliqiao	ancestor	1669	tɔ³⁵pɔ³⁵	t ɔ ³⁵ + p ɔ ³⁵	i n t + i n t	884 885	t ɔ - ³⁵ + p ɔ - ³⁵	i n c t + i n c t
600	Yunlong	ancestor	1669	tɯ³³pao³³	t ɯ ³³ + p a o ³³	i n t + i n c t	884 885	t ɯ - ³³ + p a o ³³	i n c t + i n c t
601	Xiangyun	ancestor	1669	tsu²¹kõ³⁵	ts u ²¹ + k õ ∼ ³⁵	i n t + i n c t	886 887	ts u ²¹ + k õ ∼ ³⁵	i n t + i n c t
602	Luobenzhuo	ancestor	1669	sɿ⁵⁵pɤ⁵⁵	s ɿ ⁵⁵ + p ɤ ⁵⁵	i n t + i n t	888 885	s ɿ ⁵⁵ + p ɤ - ⁵⁵	i n t + i n c t
603	Zhoucheng	ancestor	1669	tɔ³⁵pɔ³⁵	t ɔ ³⁵ + p ɔ ³⁵	i n t + i n t	884 885	t ɔ - ³⁵ + p ɔ - ³⁵	i n c t + i n c t
2458	Jianchuan	angry	1826	xu³¹kʰɯ³³	x u ³¹ + kʰ ɯ ³³	i n t + i n t	1248 1249	x - u - ³¹ + kʰ ɯ - ³³	i m n c t + i n c t
2459	Eryuan	angry	1826	xɔ³¹kʰɯ³³	x ɔ ³¹ + kʰ ɯ ³³	i n t + i n t	1248 1249	x - ɔ - ³¹ + kʰ ɯ - ³³	i m n c t + i n c t
2460	Heqing	angry	1826	kuɔ⁴⁴fɛ⁴⁴	k u ɔ ⁴⁴ + f ɛ ⁴⁴	i m n t + i n t	1250 1251	k u ɔ ⁴⁴ + f ɛ ⁴⁴	i m n t + i n t
2461	Lanping	angry	1826	xɔ³³kʰɯ⁴⁴	x ɔ ³³ + kʰ ɯ ⁴⁴	i n t + i n t	1248 1249	x - ɔ - ³³ + kʰ ɯ - ⁴⁴	i m n c t + i n c t
2462	Qiliqiao	angry	1826	xa⁴²kʰɯ³³	x a ⁴² + kʰ ɯ ³³	i n t + i n t	1248 1249	x - a - ⁴² + kʰ ɯ - ³³	i m n c t + i n c t
2463	Yunlong	angry	1826	tɕʰi³¹tsa³³	tɕʰ i ³¹ + ts a ³³	i n t + i n t	1252 1253	tɕʰ i ³¹ + ts a ³³	i n t + i n t
2464	Xiangyun	angry	1826	xue³³kʰou³³	x u e ³³ + kʰ o u ³³	i m n t + i n c t	1248 1249	x u e - ³³ + kʰ o u ³³	i m n c t + i n c t
2465	Luobenzhuo	angry	1826	xẽ⁵⁵tsẽ⁵⁵	x ẽ ∼ ⁵⁵ + ts ẽ ∼ ⁵⁵	i n c t + i n c t	1248 1254	x - ẽ ∼ ⁵⁵ + ts ẽ ∼ ⁵⁵	i m n c t + i n c t
2466	Zhoucheng	angry	1826	tsɿ⁴⁴	ts ɿ ⁴⁴	i n t	1562	ts ɿ ⁴⁴	i n t
1243	Jianchuan	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036	tɕʰ i ⁵⁵	i n t
1244	Eryuan	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036	tɕʰ i ⁵⁵	i n t
1245	Heqing	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036	tɕʰ i ⁵⁵	i n t
1246	Lanping	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036	tɕʰ i ⁵⁵	i n t
1247	Qiliqiao	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036	tɕʰ i ⁵⁵	i n t
1248	Yunlong	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036	tɕʰ i ⁵⁵	i n t
1249	Xiangyun	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036	tɕʰ i ⁵⁵	i n t
1250	Luobenzhuo	animal faeces,dung	2057	ʂʅ³³	ʂ ʅ ³³	i n t	1037	ʂ ʅ ³³	i n t
1251	Zhoucheng	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036	tɕʰ i ⁵⁵	i n t
982	Jianchuan	animal oil	1282	tsɿ⁵⁵	ts ɿ ⁵⁵	i n t	192	ts ɿ ⁵⁵	i n t
983	Eryuan	animal oil	1282	tsɿ³⁵	ts ɿ ³⁵	i n t	192	ts ɿ ³⁵	i n t
984	Heqing	animal oil	1282	tsɿ⁵⁵	ts ɿ ⁵⁵	i n t	192	ts ɿ ⁵⁵	i n t
985	Lanping	animal oil	1282	tsɿ⁵⁵	ts ɿ ⁵⁵	i n t	192	ts ɿ ⁵⁵	i n t
986	Qiliqiao	animal oil	1282	tsɿ³⁵	ts ɿ ³⁵	i n t	192	ts ɿ ³⁵	i n t
